pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
3459550,Lounge Sports Bra,Alo Yoga,BRA,Women,6,"XS,S","M,L",58,https://www.bloomingdales.com/shop/product/alo-yoga-lounge-sports-bra?ID=3459550,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/10487387_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4116243,FP Movement by The Way Home Shorts,Free People,SHORTS,Women,6,"XS,S,M,L",XL,30,https://www.bloomingdales.com/shop/product/fp-movement-by-free-people-the-way-home-shorts?ID=4116243,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11709428_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4131668,Sara Racerback Sports Bra,Splits59,BRA,Women,6,XS,"S,M,L",64,https://www.bloomingdales.com/shop/product/splits59-sara-racerback-sports-bra?ID=4131668,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11355272_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4089061,Cool Breeze Cotton Tank Top,Alo Yoga,TOP,Women,6,"XS,S,M,L",,42,https://www.bloomingdales.com/shop/product/alo-yoga-cool-breeze-cotton-tank-top?ID=4089061,"https://images.bloomingdalesassets.com/is/image/BLM/products/4/optimized/11692954_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3880676,Embrace Turtleneck Tee,Alo Yoga,TEES,Women,6,"XS,S","M,L",68,https://www.bloomingdales.com/shop/product/alo-yoga-embrace-turtleneck-tee?ID=3880676,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11284228_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4026963,The Way Home Shorts,Free People,SHORTS,Women,6,"XS,M,L",S,50,https://www.bloomingdales.com/shop/product/fp-movement-by-free-people-the-way-home-shorts?ID=4026963,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/11577417_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4077777,Airlift High-Rise Leggings ,Alo Yoga,PANTS,Women,6,L,"XXS,XS,S,M",114,https://www.bloomingdales.com/shop/product/alo-yoga-airlift-high-rise-leggings?ID=4077777,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11368571_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3964424,Suede & Mesh Moto Jacket,Blanc Noir,JACKET,Women,6,S,"XS,M,L",379,https://www.bloomingdales.com/shop/product/blanc-noir-suede-mesh-moto-jacket?ID=3964424,"https://images.bloomingdalesassets.com/is/image/BLM/products/6/optimized/11352166_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3960076,Sheer Motion Mesh Long Sleeve Crop Top,Wolford,TOP,Women,6,"XS,S","M,L,XL",190,https://www.bloomingdales.com/shop/product/wolford-x-adidas-sheer-motion-mesh-long-sleeve-crop-top?ID=3960076,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11356085_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
4058469,Morning Tennis Skirt,Year of Ours,SKIRT,Women,6,"XS,S,M,L,XL",XXL,123,https://www.bloomingdales.com/shop/product/year-of-ours-morning-tennis-skirt?ID=4058469,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11544485_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
